Locus_Tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAOUHSC_00735	313.23495338211	-1.13552119440178	0.285973184922456	-3.97072611793895	7.16539133543147e-05	0.000247728102451098
SAOUHSC_00736	9833.54881649264	-0.656034947475693	0.284593653254941	-2.3051636604419	0.0211574092447354	0.0404061000982039
SAOUHSC_00737	11.2551709356569	-0.528209156032408	0.586800651403789	-0.900150936725762	0.368039932076524	0.461854032409756
SAOUHSC_00738	16715.3028550311	-2.55112977265504	0.287077169980977	-8.88656444824258	6.3027499408437e-19	1.60603405900017e-17
SAOUHSC_00739	1608.94378587945	0.512865036825059	0.331917757447332	1.54515697132124	0.122308299379803	0.185648879690077
SAOUHSC_00740	1937.96135273609	0.880116432961492	0.414970193079302	2.12091482144912	0.0339289711516558	0.0612278876126929
SAOUHSC_00741	4857.74892065237	-1.42760316792477	0.18697686432361	-7.63518616642297	2.25494349478624e-14	3.50599124161114e-13
SAOUHSC_00742	41312.9460554572	-1.22760844608066	0.233868878427772	-5.24913128387791	1.52818142292691e-07	9.08327273411415e-07
SAOUHSC_00743	21116.4935596918	-1.30304076078985	0.28987644683444	-4.49515914459264	6.95179342515233e-06	2.970704271121e-05
SAOUHSC_00744	21.4785906349222	-0.0418185071705253	0.806888088023645	-0.051826898663176	0.958666622314474	0.966432182623531
SAOUHSC_00745	4.46509381262102	-0.585363419615646	1.41929763965612	-0.41243175727219	0.680022990322573	0.748868855289204
SAOUHSC_00746	402.363213811881	1.02645662519256	0.283739538831191	3.61760165474591	0.00029734556029902	0.000901205927249893
SAOUHSC_00747	259.718299907809	2.17291048713814	0.63772286424631	3.40729587876105	0.00065609962085007	0.00183122328253488
SAOUHSC_00748	302.325577244704	2.30065411934147	0.301311317899296	7.63547196096495	2.24994671792001e-14	3.50599124161114e-13
SAOUHSC_00749	789.187011227312	1.4808554322542	0.236946462712961	6.24974694831431	4.1111823195365e-10	3.60317635138995e-09
SAOUHSC_00751	904.874606410661	0.044518756466701	0.24961016208057	0.178353141136662	0.858445647165172	0.890815392533392
